Kundennummer;12345678;;
Kundenname;Mustermann Max;;
ZP-Nummer;AT0070000XXXX10000000000000XXXXXX;;
Beginn;27.03.2024;;
Ende;01.05.2024;;
Energierichtung;Verbrauch gemessen;;
;;;
;;;
Datum;Zeit;kWh;Status
27.03.2024;00:00:00;0,207;Der Wert ist gültig
27.03.2024;00:15:00;0,212;Der Wert ist gültig
27.03.2024;00:30:00;0,175;Der Wert ist gültig
27.03.2024;00:45:00;0,204;Der Wert ist gültig
27.03.2024;01:00:00;0,185;Der Wert ist gültig
27.03.2024;01:15:00;0,176;Der Wert ist gültig
27.03.2024;01:30:00;0,19;Der Wert ist gültig
27.03.2024;01:45:00;0,197;Der Wert ist gültig
27.03.2024;02:00:00;0,18;Der Wert ist gültig
27.03.2024;02:15:00;0,171;Der Wert ist gültig
27.03.2024;02:30:00;0,187;Der Wert ist gültig
27.03.2024;02:45:00;0,367;Der Wert ist gültig
27.03.2024;03:00:00;0,411;Der Wert ist gültig
27.03.2024;03:15:00;0,185;Der Wert ist gültig
27.03.2024;03:30:00;0,197;Der Wert ist gültig
27.03.2024;03:45:00;0,181;Der Wert ist gültig
27.03.2024;04:00:00;0,301;Der Wert ist gültig
27.03.2024;04:15:00;0,17;Der Wert ist gültig
27.03.2024;04:30:00;0,182;Der Wert ist gültig
27.03.2024;04:45:00;0,415;Der Wert ist gültig
27.03.2024;05:00:00;0,394;Der Wert ist gültig
27.03.2024;05:15:00;0,192;Der Wert ist gültig
27.03.2024;05:30:00;0,21;Der Wert ist gültig
27.03.2024;05:45:00;0,202;Der Wert ist gültig
27.03.2024;06:00:00;0,213;Der Wert ist gültig
27.03.2024;06:15:00;0,182;Der Wert ist gültig
27.03.2024;06:30:00;0,156;Der Wert ist gültig
27.03.2024;06:45:00;0,166;Der Wert ist gültig
27.03.2024;07:00:00;0,162;Der Wert ist gültig
27.03.2024;07:15:00;0,17;Der Wert ist gültig
27.03.2024;07:30:00;0,149;Der Wert ist gültig
27.03.2024;07:45:00;0,151;Der Wert ist gültig
27.03.2024;08:00:00;0,326;Der Wert ist gültig
27.03.2024;08:15:00;0,249;Der Wert ist gültig
27.03.2024;08:30:00;0,184;Der Wert ist gültig
27.03.2024;08:45:00;0,164;Der Wert ist gültig
27.03.2024;09:00:00;0,186;Der Wert ist gültig
27.03.2024;09:15:00;0,185;Der Wert ist gültig
27.03.2024;09:30:00;0,181;Der Wert ist gültig
27.03.2024;09:45:00;0,239;Der Wert ist gültig
27.03.2024;10:00:00;0,381;Der Wert ist gültig
27.03.2024;10:15:00;0,432;Der Wert ist gültig
27.03.2024;10:30:00;0,453;Der Wert ist gültig
27.03.2024;10:45:00;0,464;Der Wert ist gültig
27.03.2024;11:00:00;0,528;Der Wert ist gültig
27.03.2024;11:15:00;0,627;Der Wert ist gültig
27.03.2024;11:30:00;0,249;Der Wert ist gültig
27.03.2024;11:45:00;1,004;Der Wert ist gültig
27.03.2024;12:00:00;0,828;Der Wert ist gültig
27.03.2024;12:15:00;0,366;Der Wert ist gültig
27.03.2024;12:30:00;0,282;Der Wert ist gültig
27.03.2024;12:45:00;0,263;Der Wert ist gültig
27.03.2024;13:00:00;0,198;Der Wert ist gültig
27.03.2024;13:15:00;0,606;Der Wert ist gültig
27.03.2024;13:30:00;0,378;Der Wert ist gültig
27.03.2024;13:45:00;0,14;Der Wert ist gültig
27.03.2024;14:00:00;0,438;Der Wert ist gültig
27.03.2024;14:15:00;0,16;Der Wert ist gültig
27.03.2024;14:30:00;0,123;Der Wert ist gültig
27.03.2024;14:45:00;0,123;Der Wert ist gültig
27.03.2024;15:00:00;0,131;Der Wert ist gültig
27.03.2024;15:15:00;0,118;Der Wert ist gültig
27.03.2024;15:30:00;0,118;Der Wert ist gültig
27.03.2024;15:45:00;0,125;Der Wert ist gültig
27.03.2024;16:00:00;0,125;Der Wert ist gültig
27.03.2024;16:15:00;0,159;Der Wert ist gültig
27.03.2024;16:30:00;0,205;Der Wert ist gültig
27.03.2024;16:45:00;0,186;Der Wert ist gültig
27.03.2024;17:00:00;0,178;Der Wert ist gültig
27.03.2024;17:15:00;0,173;Der Wert ist gültig
27.03.2024;17:30:00;0,245;Der Wert ist gültig
27.03.2024;17:45:00;0,318;Der Wert ist gültig
27.03.2024;18:00:00;0,271;Der Wert ist gültig
27.03.2024;18:15:00;0,235;Der Wert ist gültig
27.03.2024;18:30:00;0,324;Der Wert ist gültig
27.03.2024;18:45:00;0,343;Der Wert ist gültig
27.03.2024;19:00:00;0,316;Der Wert ist gültig
27.03.2024;19:15:00;0,318;Der Wert ist gültig
27.03.2024;19:30:00;0,275;Der Wert ist gültig
27.03.2024;19:45:00;0,215;Der Wert ist gültig
27.03.2024;20:00:00;0,208;Der Wert ist gültig
27.03.2024;20:15:00;0,263;Der Wert ist gültig
27.03.2024;20:30:00;0,223;Der Wert ist gültig
27.03.2024;20:45:00;0,213;Der Wert ist gültig
27.03.2024;21:00:00;0,245;Der Wert ist gültig
27.03.2024;21:15:00;0,27;Der Wert ist gültig
27.03.2024;21:30:00;0,229;Der Wert ist gültig
27.03.2024;21:45:00;0,199;Der Wert ist gültig
27.03.2024;22:00:00;0,198;Der Wert ist gültig
27.03.2024;22:15:00;0,242;Der Wert ist gültig
27.03.2024;22:30:00;0,222;Der Wert ist gültig
27.03.2024;22:45:00;0,201;Der Wert ist gültig
27.03.2024;23:00:00;0,194;Der Wert ist gültig
27.03.2024;23:15:00;0,178;Der Wert ist gültig
27.03.2024;23:30:00;0,173;Der Wert ist gültig
27.03.2024;23:45:00;0,162;Der Wert ist gültig
28.03.2024;00:00:00;0,159;Der Wert ist gültig
28.03.2024;00:15:00;0,175;Der Wert ist gültig
28.03.2024;00:30:00;0,165;Der Wert ist gültig
28.03.2024;00:45:00;0,179;Der Wert ist gültig
28.03.2024;01:00:00;0,168;Der Wert ist gültig
28.03.2024;01:15:00;0,156;Der Wert ist gültig
28.03.2024;01:30:00;0,156;Der Wert ist gültig
28.03.2024;01:45:00;0,159;Der Wert ist gültig
28.03.2024;02:00:00;0,161;Der Wert ist gültig
28.03.2024;02:15:00;0,167;Der Wert ist gültig
28.03.2024;02:30:00;0,162;Der Wert ist gültig
28.03.2024;02:45:00;0,154;Der Wert ist gültig
28.03.2024;03:00:00;0,168;Der Wert ist gültig
28.03.2024;03:15:00;0,337;Der Wert ist gültig
28.03.2024;03:30:00;0,38;Der Wert ist gültig
28.03.2024;03:45:00;0,393;Der Wert ist gültig
28.03.2024;04:00:00;0,432;Der Wert ist gültig
28.03.2024;04:15:00;0,107;Der Wert ist gültig
28.03.2024;04:30:00;0,079;Der Wert ist gültig
28.03.2024;04:45:00;0,197;Der Wert ist gültig
28.03.2024;05:00:00;0,18;Der Wert ist gültig
